Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Apr_2024;CP_Apr_2025;%CP;Sus_Apr_2024;Sus_Apr_2025;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Apr_2025;Conc100_Apr_2025;TPSent_12_meses;TPCPL_Apr_2025;TC_Apr_2025;IAD_12_meses
TJSP;10613;SAO PAULO;SP;05 FAMILIA SUCESSOES DE CENTRAL;G1, JE;3.767;3.565;-5,4%;1.122;1.161;3,5%;1.385;1.540;3.392;13.444;1.077;266;461;7;2 anos;3 anos e 11 meses;61%;111%
TJSP;10005;PACAEMBU;SP;01 CUMULATIVA DE PACAEMBU;G1, JE;5.804;5.002;-13,8%;1.837;1.253;-31,8%;2.437;3.279;7.931;4.844;1.708;1.669;1.205;16;5 anos e 4 meses;3 anos e 11 meses;53%;135%
TJSP;9971;OLIMPIA;SP;SEF DE OLIMPIA;G1;13.259;12.005;-9,5%;4.051;2.733;-32,5%;3.427;4.670;714;7.908;2.560;1.410;3.126;9;7 anos e 5 meses;3 anos e 11 meses;66%;136%
TJSP;9963;NOVO HORIZONTE;SP;01 CUMULATIVA DE NOVO HORIZONTE;G1, JE;7.029;6.581;-6,4%;1.370;1.370;0%;1.890;2.293;6.393;7.997;1.748;687;1.743;29;3 anos e 7 meses;3 anos e 11 meses;69%;121%
TJSP;74445;PITANGUEIRAS;SP;SEF DE PITANGUEIRAS;G1;8.237;5.535;-32,8%;305;421;38%;43;9.919;1.788;2.235;919;17.149;3.911;0;11 anos e 6 meses;3 anos e 11 meses;34%;23.067%
TJSP;82276;GUARULHOS;SP;SEF DE GUARULHOS;G1;779.351;367.446;-52,9%;632.279;315.543;-50,1%;14.263;425.691;133.302;199.176;17.070;391.862;23.997;113;5 anos;3 anos e 11 meses;11%;2.985%
TJSP;85564;VOTUPORANGA;SP;CEJUSC - PRE-PROCESSUAL;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 11 meses;100%;
TJSP;10112;PRAIA GRANDE;SP;02 CRIMINAL DE PRAIA GRANDE;G1, JE;3.541;3.021;-14,7%;1.020;1.018;-0,2%;1.237;1.450;3.558;3.973;862;6;1.008;2;2 anos e 4 meses;3 anos e 11 meses;58%;117%
TJSP;10611;SAO PAULO;SP;03 FAMILIA SUCESSOES DE CENTRAL;G1;3.689;3.504;-5%;803;921;14,7%;1.498;1.727;1.546;8.725;1.354;261;543;35;1 ano e 10 meses;3 anos e 11 meses;59%;115%
TJSP;73906;BIRIGUI;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - BIRIGUI;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 11 meses;100%;
TJSP;9644;GUARIBA;SP;01 CUMULATIVA DE GUARIBA;G1, JE;9.971;8.807;-11,7%;3.309;3.008;-9,1%;2.533;3.731;9.593;7.060;2.118;1.050;1.599;74;5 anos e 6 meses;3 anos e 11 meses;61%;147%
TJSP;59761;GUARULHOS;SP;01 TURMA CIVEL DO COLEGIO RECURSAL DA 44 C.J. - GUARULHOS DE GUARULHOS;TR;34;6;-82,4%;19;1;-94,7%;0;34;13;6;2;0;3;0;1 ano e 9 meses;3 anos e 10 meses;8%;
TJSP;76931;MOGI DAS CRUZES;SP;CEJUSC - PRÉ PROCESSUAL - JUNDIAPEBA;G1;2;2;0%;0;0;;11;11;0;0;1;0;2;0;1 Mes;3 anos e 10 meses;15%;100%
TJSP;10188;RIBEIRAO PRETO;SP;01 JURI/EXECUCOES DE RIBEIRAO PRETO;G1, JE;12.278;9.473;-22,8%;1.150;939;-18,3%;1.293;3.179;3.109;4.107;3.277;174;4.317;459;3 anos e 1 Mes;3 anos e 10 meses;73%;246%
TJSP;9459;CAMPINAS;SP;08 CIVEL DE CAMPINAS;G1, JE;15.472;15.733;1,7%;4.277;4.751;11,1%;4.453;3.783;1.977;21.176;3.341;582;890;32;3 anos e 4 meses;3 anos e 10 meses;74%;85%
TJSP;9752;ITAQUAQUECETUBA;SP;01 CRIMINAL DE ITAQUAQUECETUBA;G1, JE;7.650;5.861;-23,4%;1.555;1.775;14,1%;1.859;3.830;5.029;11.860;1.792;287;1.949;86;3 anos e 1 Mes;3 anos e 10 meses;52%;206%
TJSP;59239;MAIRINQUE;SP;SEF DE MAIRINQUE;G1;14.102;13.023;-7,7%;6.497;5.697;-12,3%;128;1.646;3.680;3.499;1.492;1.159;2.085;2;6 anos;3 anos e 10 meses;82%;1.286%
TJSP;73972;LIMEIRA;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - LIMEIRA;G1;4;4;0%;0;0;;0;0;0;0;0;0;4;0;;3 anos e 10 meses;100%;
TJSP;10538;SAO PAULO;SP;VARA JUIZADO ESPECIAL CRIMINAL DE CENTRAL;G1, JE;4.108;4.038;-1,7%;133;116;-12,8%;1.854;1.582;93;6.288;1.388;26;2.563;60;9 meses;3 anos e 10 meses;71%;85%
TJSP;9972;ORLANDIA;SP;01 CUMULATIVA DE ORLANDIA;G1, JE;13.098;9.485;-27,6%;7.500;5.476;-27%;1.970;5.621;10.790;5.970;2.525;1.382;1.240;26;4 anos e 11 meses;3 anos e 10 meses;41%;285%
TJSP;9947;MONTE APRAZIVEL;SP;01 CUMULATIVA DE MONTE APRAZIVEL;G1, JE;8.039;8.208;2,1%;1.750;1.661;-5,1%;1.911;1.898;9.010;4.611;1.493;743;3.363;22;2 anos e 3 meses;3 anos e 10 meses;77%;99%
TJSP;9529;CONCHAS;SP;02 CUMULATIVA DE CONCHAS;G1, JE;4.408;3.141;-28,7%;1.562;991;-36,6%;1.032;2.279;3.872;3.889;897;1.160;528;19;3 anos e 2 meses;3 anos e 10 meses;48%;221%
TJSP;9315;ARARAQUARA;SP;JURI/EXECUCOES DE ARARAQUARA;G1, JE;3.919;2.980;-24%;512;349;-31,8%;1.511;2.433;950;7.313;1.471;383;931;194;2 anos e 2 meses;3 anos e 10 meses;52%;161%
TJSP;74063;VINHEDO;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - VINHEDO;G1;3;3;0%;0;0;;0;0;0;0;0;0;3;0;;3 anos e 10 meses;100%;
TJSP;10099;PORANGABA;SP;VARA UNICA DE PORANGABA;G1, JE;18.293;12.422;-32,1%;6.728;2.585;-61,6%;3.433;9.386;2.033;10.829;1.440;7.793;3.442;365;4 anos e 10 meses;3 anos e 10 meses;51%;273%
TJSP;9514;CATANDUVA;SP;01 CRIMINAL DE CATANDUVA;G1, JE;6.190;6.496;4,9%;288;319;10,8%;1.741;1.668;13.262;2.840;1.251;10;2.330;144;2 anos e 1 Mes;3 anos e 10 meses;79%;96%
TJSP;9668;GUARULHOS;SP;03 CRIMINAL DE GUARULHOS;G1, JE;1.852;1.664;-10,2%;471;503;6,8%;482;688;2.805;2.823;455;0;466;4;2 anos e 6 meses;3 anos e 10 meses;63%;143%
TJSP;9900;MIRACATU;SP;01 CUMULATIVA DE MIRACATU;G1, JE;3.077;2.629;-14,6%;342;414;21,1%;834;1.388;1.230;3.495;737;139;540;36;3 anos e 1 Mes;3 anos e 10 meses;61%;166%
TJSP;9525;CHAVANTES;SP;VARA UNICA DE CHAVANTES;G1, JE;6.535;5.442;-16,7%;2.762;1.922;-30,4%;1.452;2.610;5.356;3.382;995;1.088;1.054;59;4 anos e 3 meses;3 anos e 10 meses;57%;180%
TJSP;18185;PORTO FELIZ;SP;SEF DE PORTO FELIZ;G1;6.935;5.724;-17,5%;262;1.220;365,6%;865;2.792;2.329;9.078;1.589;1.125;757;3;6 anos e 9 meses;3 anos e 10 meses;62%;323%
TJSP;9546;CUBATAO;SP;01 CUMULATIVA DE CUBATAO;G1, JE;6.804;6.945;2,1%;1.140;1.281;12,4%;2.108;1.926;2.047;18.204;1.296;191;1.589;32;1 ano e 9 meses;3 anos e 9 meses;75%;91%
TJSP;9273;AMERICANA;SP;VARA JUIZADO ESPECIAL CIVEL E CRIMINAL DE AMERICANA;G1, JE;11;5;-54,5%;0;0;;0;3;0;0;0;0;5;0;;3 anos e 9 meses;62%;
TJSP;59223;CACAPAVA;SP;CRIMINAL DE CACAPAVA;G1, JE;3.636;3.362;-7,5%;322;300;-6,8%;981;1.333;4.704;2.546;757;56;583;144;2 anos e 6 meses;3 anos e 9 meses;70%;136%
TJSP;59767;SAO PAULO;SP;01 TURMA CIVEL DO II COLEGIO RECURSAL DA CAPITAL DE SANTANA;TR;514;451;-12,3%;443;427;-3,6%;5;78;106;3;0;0;5;3;10 anos e 4 meses;3 anos e 9 meses;9%;1.560%
TJSP;9356;BARRA BONITA;SP;01 CUMULATIVA DE BARRA BONITA;G1, JE;10.178;10.026;-1,5%;2.626;2.722;3,7%;2.346;2.555;7.117;6.468;2.498;499;1.163;156;4 anos e 9 meses;3 anos e 9 meses;74%;109%
TJSP;10455;SAO PAULO;SP;01 CRIMINAL DE PENHA;G1, JE;1.255;1.033;-17,7%;366;317;-13,4%;265;509;2.741;854;504;1;352;27;2 anos e 1 Mes;3 anos e 9 meses;58%;192%
TJSP;9318;ARARAQUARA;SP;INFANCIA JUVENTUDE IDOSO DE ARARAQUARA;G1;1.011;1.170;15,7%;9;16;77,8%;937;691;1.723;1.579;432;144;425;16;6 meses;3 anos e 9 meses;63%;74%
TJSP;10271;SANTOS;SP;03 CIVEL DE SANTOS;G1, JE;6.844;6.862;0,3%;1.134;1.173;3,4%;1.964;1.837;2.318;14.227;1.486;307;604;27;2 anos e 6 meses;3 anos e 9 meses;76%;94%
TJSP;70865;SAO PAULO;SP;18ª CÂMARA DE DIREITO PRIVADO;G2;15.163;15.353;1,3%;7.803;7.962;2%;13.548;9.900;10.841;13.134;659;479;1.660;1.127;3 meses;3 anos e 9 meses;43%;73%
TJSP;10931;SAO PAULO;SP;01 VARA JUIZADO ESPECIAL CIVEL - JIT - ANEXO MACKENZIE DE CENTRAL;G1, JE;2.422;2.163;-10,7%;313;275;-12,1%;1.619;1.552;904;4.086;1.283;253;903;104;10 meses;3 anos e 9 meses;55%;96%
TJSP;82525;SAO PAULO;SP;CARTORIO DA DIPO 4 - SECAO 4.2.2;G1, JE;628;416;-33,8%;26;23;-11,5%;749;572;644;1.497;29;4;219;13;1 ano;3 anos e 9 meses;41%;76%
TJSP;9340;ATIBAIA;SP;01 CRIMINAL DE ATIBAIA;G1, JE;1.132;1.188;4,9%;263;285;8,4%;863;841;4.121;1.938;539;103;298;3;1 ano e 1 Mes;3 anos e 9 meses;52%;97%
TJSP;9803;JAU;SP;02 CIVEL DE JAU;G1, JE;9.619;9.451;-1,7%;2.121;2.282;7,6%;2.734;2.826;1.611;9.463;2.000;286;1.480;327;2 anos;3 anos e 9 meses;72%;103%
TJSP;10026;PEDERNEIRAS;SP;01 CUMULATIVA DE PEDERNEIRAS;G1, JE;10.434;7.421;-28,9%;3.660;2.682;-26,7%;1.940;4.942;4.945;5.865;1.790;2.869;624;50;4 anos;3 anos e 9 meses;49%;255%
TJSP;9941;MONGAGUA;SP;SEF DE MONGAGUA;G1;73.946;24.493;-66,9%;55.088;20.468;-62,8%;203;49.348;2.243;16.000;1.603;47.678;1.250;3;9 anos;3 anos e 9 meses;7%;24.309%
TJSP;73924;SAO PAULO;SP;COORDENADORIA DO CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - CENTRAL;G1, JE;19;19;0%;0;0;;0;0;0;0;0;0;19;0;;3 anos e 9 meses;100%;
TJSP;10437;SAO PAULO;SP;03 FAMILIA SUCESSOES DE LAPA;G1;3.054;2.927;-4,2%;423;444;5%;1.390;1.455;8.982;5.341;985;243;934;27;1 ano e 2 meses;3 anos e 9 meses;63%;105%
TJSP;74012;PIRASSUNUNGA;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - PIRASSUNUNGA;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 9 meses;100%;
TJSP;9822;JUNDIAI;SP;02 CRIMINAL DE JUNDIAI;G1, JE;1.819;1.927;5,9%;215;277;28,8%;1.021;965;1.833;1.974;445;22;1.047;109;1 ano e 3 meses;3 anos e 9 meses;63%;95%
TJSP;10498;SAO PAULO;SP;01 ESPECIAL INFANCIA JUVENTUDE DE CENTRAL;G1, JE;215;314;46%;10;10;0%;350;223;552;1.296;130;62;105;0;4 meses;3 anos e 9 meses;58%;64%
TJSP;10718;TAQUARITINGA;SP;02 CUMULATIVA DE TAQUARITINGA;G1, JE;4.600;4.531;-1,5%;843;1.053;24,9%;1.906;1.951;1.159;9.206;1.373;303;1.221;24;1 ano e 9 meses;3 anos e 9 meses;63%;102%
TJSP;9890;MAUA;SP;01 CIVEL DE MAUA;G1, JE;6.378;6.124;-4%;1.883;1.987;5,5%;2.338;2.446;5.234;5.574;1.810;587;682;5;2 anos;3 anos e 9 meses;63%;105%
TJSP;9961;ITAJOBI;SP;VARA UNICA DE ITAJOBI;G1, JE;7.704;7.671;-0,4%;1.277;1.462;14,5%;1.776;1.915;4.608;4.334;1.226;460;2.034;17;2 anos e 1 Mes;3 anos e 9 meses;76%;108%
TJSP;9688;IBIUNA;SP;01 CUMULATIVA DE IBIUNA;G1, JE;8.681;8.668;-0,1%;2.522;2.624;4%;2.189;2.219;2.263;9.513;1.195;576;844;152;2 anos e 4 meses;3 anos e 9 meses;73%;101%
TJSP;10096;POMPEIA;SP;01 CUMULATIVA DE POMPEIA;G1, JE;8.525;8.021;-5,9%;2.565;2.622;2,2%;2.516;2.961;6.474;8.155;1.742;1.199;1.538;100;3 anos e 8 meses;3 anos e 9 meses;65%;118%
TJSP;9775;JABOTICABAL;SP;2 VARA CIVEL DE JABOTICABAL;G1, JE;4.654;4.667;0,3%;916;899;-1,9%;2.098;2.089;36;9.454;1.617;385;1.271;4;1 ano e 7 meses;3 anos e 9 meses;64%;100%
TJSP;9933;MOJI MIRIM;SP;01 CUMULATIVA DE MOJI MIRIM;G1, JE;6.283;6.337;0,9%;2.432;2.451;0,8%;1.706;1.670;3.324;4.639;1.103;485;817;477;2 anos e 3 meses;3 anos e 9 meses;70%;98%
TJSP;9512;CATANDUVA;SP;02 CIVEL DE CATANDUVA;G1, JE;8.305;8.082;-2,7%;2.463;2.561;4%;2.847;2.817;9.570;7.763;1.453;412;875;38;2 anos e 4 meses;3 anos e 9 meses;66%;99%
TJSP;10674;SOROCABA;SP;06 CIVEL DE SOROCABA;G1, JE;16.537;16.562;0,2%;4.422;5.011;13,3%;3.953;3.691;1.776;16.510;2.541;677;1.389;201;2 anos e 8 meses;3 anos e 9 meses;76%;93%
TJSP;14321;SAO PAULO;SP;VARA DA REGIAO OESTE DE VIOL. DOMEST. E FAM. CONTRA A MULHER DE BUTANTA;G1, JE;12.907;13.882;7,6%;1.555;2.059;32,4%;2.667;2.088;1.619;18.141;1.277;438;4.769;95;3 anos e 2 meses;3 anos e 9 meses;85%;78%
TJSP;9699;INDAIATUBA;SP;01 CIVEL DE INDAIATUBA;G1, JE;12.396;12.802;3,3%;3.715;3.778;1,7%;2.387;1.993;1.977;6.889;1.711;536;1.258;2.216;2 anos e 6 meses;3 anos e 9 meses;82%;83%
TJSP;9460;CAMPINAS;SP;09 CIVEL DE CAMPINAS;G1, JE;12.641;12.903;2,1%;3.165;3.550;12,2%;3.663;2.993;80;13.698;2.505;668;793;348;2 anos e 8 meses;3 anos e 9 meses;76%;82%
TJSP;59210;SANTO ANDRE;SP;07 CIVEL DE SANTO ANDRE;G1, JE;10.112;10.977;8,6%;4.077;4.419;8,4%;3.171;2.274;10.087;6.681;1.773;470;1.408;91;1 ano e 7 meses;3 anos e 9 meses;74%;72%
TJSP;10564;SAO PAULO;SP;13 FAZENDA PUBLICA DE CENTRAL;G1, JE;22.163;22.376;1%;10.442;9.758;-6,6%;5.975;5.956;14.673;22.438;2.495;821;2.343;367;2 anos e 1 Mes;3 anos e 9 meses;68%;100%
TJSP;9683;GUARULHOS;SP;02 FAZENDA PUBLICA DE GUARULHOS;G1, JE;7.936;8.777;10,6%;4.034;4.261;5,6%;3.865;2.865;5.157;10.877;1.449;670;1.326;8;7 meses;3 anos e 8 meses;61%;74%
TJSP;10278;SANTOS;SP;10 CIVEL DE SANTOS;G1, JE;6.889;6.983;1,4%;3.183;3.464;8,8%;2.222;2.122;8;14.870;1.753;243;618;7;1 ano e 5 meses;3 anos e 8 meses;62%;95%
TJSP;10435;SAO PAULO;SP;INFANCIA JUVENTUDE DE LAPA;G1, JE;1.773;1.888;6,5%;13;12;-7,7%;1.127;1.018;191;7.864;544;123;736;13;8 meses;3 anos e 8 meses;65%;90%
TJSP;73923;CATANDUVA;SP;01 CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - CATANDUVA;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 8 meses;100%;
TJSP;10109;PRAIA GRANDE;SP;02 CIVEL DE PRAIA GRANDE;G1, JE;14.556;15.135;4%;4.679;4.770;1,9%;3.827;3.302;6.159;11.433;2.803;748;3.737;39;2 anos e 2 meses;3 anos e 8 meses;76%;86%
TJSP;10078;PIRAJUI;SP;01 CUMULATIVA DE PIRAJUI;G1, JE;7.912;7.136;-9,8%;3.177;3.383;6,5%;1.791;2.565;11.024;6.608;1.425;483;948;19;2 anos e 8 meses;3 anos e 8 meses;59%;143%
TJSP;9792;JAGUARIUNA;SP;01 CUMULATIVA DE JAGUARIUNA;G1, JE;11.173;10.927;-2,2%;4.021;3.866;-3,9%;3.394;2.847;4.679;12.412;2.220;417;1.636;60;1 ano e 10 meses;3 anos e 8 meses;71%;84%
TJSP;10834;FRANCA;SP;VARA JUIZADO ESPECIAL CIVEL - JIT - ANEXO UNESP DE FRANCA;G1, JE;777;973;25,2%;6;22;266,7%;385;190;718;177;244;37;452;2;10 meses;3 anos e 8 meses;83%;49%
TJSP;9866;MAIRIPORA;SP;01 CUMULATIVA DE MAIRIPORA;G1, JE;9.049;10.235;13,1%;632;711;12,5%;2.262;1.253;13.478;3.024;1.042;414;4.097;169;2 anos e 6 meses;3 anos e 8 meses;88%;55%
TJSP;71082;SAO PAULO;SP;2º GRUPO DE CÂMARAS DE DIREITO PÚBLICO;G2;63;56;-11,1%;4;3;-25%;37;44;40;125;15;6;12;4;9 meses;3 anos e 8 meses;55%;119%
TJSP;73995;OSASCO;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - OSASCO;G1;5;5;0%;0;0;;0;0;0;0;0;0;5;0;;3 anos e 8 meses;100%;
TJSP;71019;RIO CLARO;SP;02 TURMA CIVEL DO COLEGIO RECURSAL DA 9 C.J. - RIO CLARO DE RIO CLARO;TR;70;15;-78,6%;23;5;-78,3%;0;59;87;19;2;0;5;0;2 anos e 6 meses;3 anos e 8 meses;9%;
TJSP;10255;SANTOS;SP;01 FAMILIA SUCESSOES DE SANTOS;G1, JE;6.172;5.693;-7,8%;1.653;1.898;14,8%;2.086;2.645;7.965;12.247;1.751;618;919;10;1 ano e 11 meses;3 anos e 8 meses;59%;127%
TJSP;74033;SAO PAULO;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - SANTO AMARO;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 8 meses;100%;
TJSP;10835;FRANCA;SP;VARA JUIZADO ESPECIAL CIVEL DE FRANCA;G1, JE;21.492;23.076;7,4%;545;1.018;86,8%;7.783;5.862;15.571;12.984;5.476;1.225;8.233;113;1 ano e 3 meses;3 anos e 8 meses;79%;75%
TJSP;10521;SAO PAULO;SP;14 CRIMINAL DE CENTRAL;G1, JE;5.442;3.372;-38%;178;560;214,6%;774;2.505;10.095;2.380;1.658;9;340;25;3 anos e 6 meses;3 anos e 8 meses;53%;324%
TJSP;73938;GUARATINGUETA;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - GUARATINGUETA;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 8 meses;100%;
TJSP;10542;SAO PAULO;SP;04 EXECUCOES CRIMINAIS DE CENTRAL;G1, JE;57.067;49.106;-14%;21;236;1.023,8%;4.891;25.471;29.098;9.690;21.132;0;27.853;4.225;6 anos e 6 meses;3 anos e 8 meses;66%;521%
TJSP;9741;ITAPIRA;SP;01 CUMULATIVA DE ITAPIRA;G1, JE;7.055;7.412;5,1%;994;1.071;7,7%;3.013;2.618;7.945;6.621;1.814;480;1.672;83;1 ano e 7 meses;3 anos e 8 meses;71%;87%
TJSP;9689;IBIUNA;SP;02 CUMULATIVA DE IBIUNA;G1, JE;9.342;9.474;1,4%;2.474;2.701;9,2%;2.134;1.865;2.495;7.271;1.195;674;1.121;82;2 anos e 5 meses;3 anos e 8 meses;78%;87%
TJSP;10609;SAO PAULO;SP;01 FAMILIA SUCESSOES DE CENTRAL;G1;4.574;4.830;5,6%;1.292;1.355;4,9%;1.751;1.539;49;7.769;1.066;559;744;11;1 ano e 5 meses;3 anos e 8 meses;69%;88%
TJSP;9859;PIQUETE;SP;VARA UNICA DE PIQUETE;G1, JE;3.772;2.680;-29%;2.181;1.285;-41,1%;754;1.869;2.692;4.193;604;1.094;295;13;8 anos e 9 meses;3 anos e 8 meses;43%;248%
TJSP;10273;SANTOS;SP;05 CIVEL DE SANTOS;G1, JE;8.585;8.528;-0,7%;5.514;5.709;3,5%;2.062;2.163;477;14.891;1.634;289;387;28;1 ano e 8 meses;3 anos e 8 meses;56%;105%
TJSP;10934;SANTA ISABEL;SP;01 CUMULATIVA DE SANTA ISABEL;G1, JE;5.024;4.930;-1,9%;1.057;1.193;12,9%;1.543;1.613;4.533;7.576;974;313;676;4;2 anos e 4 meses;3 anos e 8 meses;70%;105%
TJSP;59290;SANTANA DE PARNAIBA;SP;VARA UNICA DE SANTANA DE PARNAIBA;G1;50;49;-2%;2;1;-50%;0;0;0;0;0;0;45;2;;3 anos e 8 meses;100%;
TJSP;10541;SAO PAULO;SP;03 EXECUCOES CRIMINAIS DE CENTRAL;G1;34.965;25.021;-28,4%;69;495;617,4%;3.478;17.174;21.457;6.001;7.567;0;8.477;1.958;8 anos e 2 meses;3 anos e 8 meses;59%;494%
TJSP;9435;CABREUVA;SP;VARA UNICA DE CABREUVA;G1, JE;19.021;15.267;-19,7%;5.207;4.335;-16,7%;3.160;6.882;18.878;8.669;2.804;3.187;1.350;35;4 anos e 7 meses;3 anos e 8 meses;61%;218%
TJSP;9996;OSVALDO CRUZ;SP;JUIZADO ESPECIAL CIVEL CRIM. DE OSVALDO CRUZ;G1, JE;2.429;2.601;7,1%;71;16;-77,5%;3.868;3.766;1.911;4.128;2.479;566;1.143;4;4 meses;3 anos e 8 meses;41%;97%
TJSP;85841;CRUZEIRO;SP;CEJUSC PRÉ - POSTO PREFEITURA;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 8 meses;100%;
TJSP;10427;SAO PAULO;SP;01 CRIMINAL DE JABAQUARA;G1, JE;1.791;1.660;-7,3%;667;667;0%;522;644;2.515;1.061;463;1;579;12;2 anos e 6 meses;3 anos e 8 meses;61%;123%
TJSP;10492;SAO PAULO;SP;01 FAMILIA SUCESSOES DE PINHEIROS;G1;5.713;6.080;6,4%;1.359;1.400;3%;1.788;1.455;268;11.073;1.250;394;1.071;35;1 ano e 8 meses;3 anos e 8 meses;76%;81%
TJSP;9654;GUARUJA;SP;04 CIVEL DE GUARUJA;G1, JE;8.047;8.634;7,3%;1.133;1.427;25,9%;2.952;2.306;11.908;9.184;1.509;535;1.101;27;1 ano e 8 meses;3 anos e 8 meses;76%;78%
TJSP;9902;MIRANDOPOLIS;SP;01 CUMULATIVA DE MIRANDOPOLIS;G1, JE;7.343;6.773;-7,8%;2.685;2.761;2,8%;2.370;2.972;4.252;10.284;2.378;385;855;15;5 anos e 1 Mes;3 anos e 8 meses;57%;125%
TJSP;9903;MIRANDOPOLIS;SP;02 CUMULATIVA DE MIRANDOPOLIS;G1, JE;6.861;6.778;-1,2%;1.701;1.619;-4,8%;2.425;2.561;6.915;7.539;1.995;205;749;69;2 anos e 11 meses;3 anos e 8 meses;67%;106%
TJSP;10493;SAO PAULO;SP;02 FAMILIA SUCESSOES DE PINHEIROS;G1;4.186;4.170;-0,4%;1.078;1.179;9,4%;1.786;1.800;11.758;8.416;1.372;240;865;59;1 ano e 3 meses;3 anos e 8 meses;62%;101%
TJSP;85473;MOGI GUAÇU;SP;CEJUSC - PRÉ-PROCESSUAL;G1;3;3;0%;0;0;;4;4;0;0;0;0;3;0;;3 anos e 8 meses;43%;100%
TJSP;85439;ITAPIRA;SP;CEJUSC - PRÉ-PROCESSUAL;G1;1;1;0%;0;0;;0;0;0;0;0;0;1;0;;3 anos e 7 meses;100%;
TJSP;10311;SAO CAETANO DO SUL;SP;01 CRIMINAL DE SAO CAETANO DO SUL;G1, JE;1.418;1.450;2,3%;405;392;-3,2%;613;636;5.438;928;335;30;434;22;1 ano e 6 meses;3 anos e 7 meses;62%;104%
TJSP;85524;SANTA BARBARA D OESTE;SP;CEJUSC - PRÉ-PROCESSUAL;G1;2;2;0%;0;0;;1;1;0;0;0;0;2;0;;3 anos e 7 meses;67%;100%
TJSP;13682;COTIA;SP;CRIMINAL DE COTIA;G1, JE;6.561;6.971;6,2%;795;885;11,3%;1.649;1.484;8.740;3.490;1.198;162;2.432;50;3 anos e 5 meses;3 anos e 7 meses;80%;90%
TJSP;10013;PALMITAL;SP;02 CUMULATIVA DE PALMITAL;G1, JE;8.496;4.209;-50,5%;4.948;1.236;-75%;1.553;5.921;3.762;4.346;1.680;4.344;458;14;5 anos e 8 meses;3 anos e 7 meses;31%;381%
TJSP;74701;FERNANDOPOLIS;SP;VARA PLANTÃO DA 18ª C J - FERNANDÓPOLIS;G1, JE;95;120;26,3%;22;41;86,4%;161;1;2;160;1;0;20;0;0 anos;3 anos e 7 meses;98%;1%
TJSP;9605;FRANCA;SP;JURI/EXEC./INF.JUV. DE FRANCA;G1, JE;12.714;13.721;7,9%;35;52;48,6%;2.566;1.590;8.113;3.514;3.366;474;4.641;594;2 anos e 7 meses;3 anos e 7 meses;90%;62%
TJSP;10277;SANTOS;SP;09 CIVEL DE SANTOS;G1, JE;7.447;7.622;2,3%;3.574;3.908;9,3%;2.245;2.083;22;16.926;1.911;307;651;26;1 ano e 8 meses;3 anos e 7 meses;64%;93%
TJSP;9923;MOGI DAS CRUZES;SP;01 CRIMINAL DE MOGI DAS CRUZES;G1, JE;2.413;2.126;-11,9%;657;652;-0,8%;421;871;4.162;2.886;471;4;715;23;3 anos;3 anos e 7 meses;63%;207%
TJSP;73899;BARRETOS;SP;CENTRO JUD. DE SOLUCAO DE CONFLITOS E CIDADANIA - BARRETOS;G1;2;2;0%;0;0;;0;0;0;0;0;0;2;0;;3 anos e 7 meses;100%;
TJSP;10367;SAO JOSE DOS CAMPOS;SP;JURI/EXECUCOES DE SAO JOSE DOS CAMPOS;G1, JE;13.690;10.468;-23,5%;266;909;241,7%;2.024;6.513;7.011;10.788;2.405;489;2.320;141;3 anos e 10 meses;3 anos e 7 meses;60%;322%
TJSP;10535;SAO PAULO;SP;29 CRIMINAL DE CENTRAL;G1, JE;1.717;1.672;-2,6%;519;566;9,1%;828;899;4.424;2.861;843;4;266;33;1 ano e 4 meses;3 anos e 7 meses;55%;109%
TJSP;71071;SAO PAULO;SP;11º GRUPO DE CÂMARAS DE DIREITO PRIVADO;G2;42;46;9,5%;0;0;;30;28;30;130;5;9;14;3;4 meses;3 anos e 7 meses;62%;93%
